T,D,S,phi_cvar,l_tds
0,1,EVT_84,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_85,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_86,-0.0,0.0
0,1,EVT_87,-0.0,0.0
0,1,EVT_88,0.02875279850559309,0.02875279850559309
0,1,EVT_89,-1.7462298967929613e-11,-1.7462298274040225e-11
0,1,EVT_90,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_91,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_92,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_93,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_94,-1.1641534958251043e-11,-1.1641532182693482e-11
0,1,EVT_95,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_96,-0.0,0.0
0,1,EVT_97,-0.0,0.0
0,1,EVT_98,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_99,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_100,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_101,-0.0,0.0
0,1,EVT_102,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_103,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_104,-0.0,0.0
0,1,EVT_105,-2.305023372173308e-09,-2.3050233721733123e-09
0,1,EVT_106,-0.0,0.0
0,1,EVT_107,0.0942675992671866,0.0942675992671866
0,1,EVT_108,0.008665920000057614,0.008665920000057614
0,1,EVT_109,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_110,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,HILP_0,1.335067724226974,1.335067724226974
0,1,HILP_1,-0.0,0.0
0,2,0,0.0,0.0
0,2,LN_R_1,-0.0,0.0
0,2,LN_R_2,-0.0,0.0
0,2,LN_R_3,-0.0,0.0
0,2,LN_R_4,-0.0,0.0
0,2,LN_R_5,-1.1641532356165829e-11,-1.1641532182693482e-11
0,2,LN_R_6,-0.0,0.0
0,2,LN_R_7,-1.1641532356165829e-11,-1.1641532182693482e-11
0,2,LN_R_8,-0.0,0.0
0,2,LN_R_9,-1.1641532182693482e-11,-1.1641532182693482e-11
0,2,LN_R_10,-0.0,0.0
0,2,LN_R_11,-0.0,0.0
0,2,LN_R_12,-1.1641531488804091e-11,-1.1641532182693482e-11
0,2,LN_R_13,-1.1641532182693482e-11,-1.1641532182693482e-11
0,2,LN_R_14,-1.1641532182693482e-11,-1.1641532182693482e-11
0,2,LN_R_15,-1.1641532182693482e-11,-1.1641532182693482e-11
