N,T,D,v
8,13,2,0.9585621184821754
8,13,3,1.0100035668578113
8,14,0,0.9689784153494503
8,14,1,0.9604481379476395
8,14,2,0.9625807072980926
8,14,3,0.9585737084262151
8,15,0,0.9689784153494503
8,15,1,0.9604481379476395
8,15,2,0.9625807072980926
8,15,3,0.9585737084262151
8,16,0,0.9689784153494503
8,16,1,0.9604481379476395
8,16,2,0.9625807072980926
8,16,3,0.9585737084262151
8,17,0,0.9689784153494503
8,17,1,0.9604481379476395
8,17,2,0.9625807072980926
8,17,3,0.9585737084262151
8,18,0,1.0372341285406077
8,18,1,0.9815275414640657
8,18,2,0.9836601108145182
8,18,3,1.042902380072352
8,19,0,1.0140221556737288
8,19,1,1.0140221556737288
8,19,2,1.0072960424394901
8,19,3,0.9561829992467339
8,20,0,1.0251820165342254
8,20,1,0.9627493162234446
8,20,2,0.9606167468729917
8,20,3,1.0254172106006731
8,21,0,0.9561829992467339
8,21,1,1.0140221556737288
8,21,2,0.9561829992467339
8,21,3,0.9561829992467339
8,22,0,0.9584841775225402
8,22,1,0.9584841775225402
8,22,2,0.9584841775225402
8,22,3,1.0321433238349116
8,23,0,0.9584841775225402
8,23,1,0.9584841775225402
8,23,2,0.9584841775225402
8,23,3,1.0321433238349116
9,0,0,1.0418704063626827
9,0,1,1.0418704063626827
9,0,2,1.0418704063626827
9,0,3,1.0418704063626827
9,1,0,1.0418704063626827
9,1,1,1.0418704063626827
9,1,2,1.0418704063626827
9,1,3,1.0418704063626827
9,2,0,1.0418704063626827
9,2,1,1.0418704063626827
9,2,2,1.0418704063626827
9,2,3,1.0418704063626827
9,3,0,1.0418704063626827
9,3,1,1.0418704063626827
9,3,2,1.0418704063626827
9,3,3,1.0418704063626827
9,4,0,1.0418704063626827
9,4,1,1.0418704063626827
9,4,2,1.0418704063626827
9,4,3,1.0418704063626827
9,5,0,1.0303217509219724
9,5,1,0.9706706282526696
9,5,2,0.9739727380061951
9,5,3,1.0339573903195034
9,6,0,0.9697757180773595
9,6,1,1.0343409877385932
9,6,2,1.0307053483410622
9,6,3,0.9645526748902
9,7,0,0.9697757180773595
9,7,1,1.0343409877385932
9,7,2,1.0307053483410622
9,7,3,0.9645526748902
9,8,0,0.9697757180773595
9,8,1,1.0343409877385932
9,8,2,1.0307053483410622
9,8,3,0.9645526748902
9,9,0,0.9959411383003551
9,9,1,0.9827326992862534
9,9,2,1.0170216169019806
9,9,3,1.0242928956970423
9,10,0,0.9961490738421903
9,10,1,1.0307053483410622
9,10,2,1.0270697089435314
9,10,3,0.9697757180773595
9,11,0,0.9961490738421903
9,11,1,1.0307053483410622
9,11,2,1.0270697089435314
9,11,3,0.9697757180773595
9,12,0,0.9961490738421903
9,12,1,1.0307053483410622
9,12,2,1.0270697089435314
9,12,3,0.9697757180773595
9,13,0,0.999310870655235
9,13,1,0.9784186979065925
9,13,2,0.9836417410937538
9,13,3,1.0289022417959743
9,14,0,1.0011139772003228
9,14,1,0.9802218044516805
9,14,2,0.9854448476388417
9,14,3,0.9752569010935483
9,15,0,1.0011139772003228
9,15,1,0.9802218044516805
9,15,2,0.9854448476388417
9,15,3,0.9752569010935483
9,16,0,1.0011139772003228
9,16,1,0.9802218044516805
9,16,2,0.9854448476388417
9,16,3,0.9752569010935483
9,17,0,1.0011139772003228
9,17,1,0.9802218044516805
9,17,2,0.9854448476388417
9,17,3,0.9752569010935483
9,18,0,1.041745844534865
9,18,1,0.9860392574583231
9,18,2,0.9912623006454834
9,18,3,1.0443236222299013
9,19,0,1.0307053483410622
9,19,1,1.0307053483410622
9,19,2,1.0270697089435314
9,19,3,0.9697757180773595
9,20,0,1.0364498465621286
9,20,1,0.9771076200880555
9,20,2,0.9718845769008949
9,20,3,1.0366850406285764
9,21,0,0.9697757180773595
9,21,1,1.0307053483410622
9,21,2,0.9697757180773595
9,21,3,0.9697757180773595
9,22,0,0.9666615337137355
9,22,1,0.9666615337137355
9,22,2,0.9666615337137355
9,22,3,1.0403206800261067
9,23,0,0.9666615337137355
9,23,1,0.9666615337137355
9,23,2,0.9666615337137355
9,23,3,1.0403206800261067
10,0,0,1.0434540173567077
10,0,1,1.0434540173567077
10,0,2,1.0434540173567077
10,0,3,1.0434540173567077
10,1,0,1.0434540173567077
10,1,1,1.0434540173567077
10,1,2,1.0434540173567077
10,1,3,1.0434540173567077
10,2,0,1.0434540173567077
10,2,1,1.0434540173567077
10,2,2,1.0434540173567077
10,2,3,1.0434540173567077
10,3,0,1.0434540173567077
10,3,1,1.0434540173567077
10,3,2,1.0434540173567077
10,3,3,1.0434540173567077
10,4,0,1.0434540173567077
10,4,1,1.0434540173567077
10,4,2,1.0434540173567077
10,4,3,1.0434540173567077
10,5,0,1.0369080347134156
10,5,1,0.9771020281466949
10,5,2,0.9807667859761056
10,5,3,1.0401810260350621
10,6,0,0.9723427650521818
10,6,1,1.0369080347134156
10,6,2,1.03363504339177
10,6,3,0.9667570737891374
10,7,0,0.9723427650521818
10,7,1,1.0369080347134156
10,7,2,1.03363504339177
10,7,3,0.9667570737891374
10,8,0,0.9723427650521818
10,8,1,1.0369080347134156
10,8,2,1.03363504339177
10,8,3,0.9667570737891374
10,9,0,1.0103695176961514
10,9,1,0.9957104863785119
10,9,2,1.0303620520701238
10,9,3,1.0369080347134156
10,10,0,1.0002712213674085
10,10,1,1.03363504339177
10,10,2,1.0303620520701238
10,10,3,0.9723427650521818
10,11,0,1.0002712213674085
10,11,1,1.03363504339177
10,11,2,1.0303620520701238
10,11,3,0.9723427650521818
10,12,0,1.0002712213674085
10,12,1,1.03363504339177
10,12,2,1.0303620520701238
10,12,3,0.9723427650521818
10,13,0,1.0058569126304535
10,13,1,0.9835141475782723
10,13,2,0.9890998388413181
10,13,3,1.03363504339177
10,14,0,1.0058569126304535
10,14,1,0.9835141475782723
10,14,2,0.9890998388413181
10,14,3,0.9779284563152272
10,15,0,1.0058569126304535
10,15,1,0.9835141475782723
10,15,2,0.9890998388413181
10,15,3,0.9779284563152272
10,16,0,1.0058569126304535
10,16,1,0.9835141475782723
10,16,2,0.9890998388413181
10,16,3,0.9779284563152272
10,17,0,1.0058569126304535
10,17,1,0.9835141475782723
10,17,2,0.9890998388413181
10,17,3,0.9779284563152272
10,18,0,1.03363504339177
10,18,1,0.9779284563152272
10,18,2,0.9835141475782723
