L_e,T,D,f_l
5,6,0,0.007366
5,6,1,0.007366
5,6,2,0.0092075
5,6,3,0.0055245
5,7,0,0.007366
5,7,1,0.007366
5,7,2,0.0092075
5,7,3,0.0055245
5,8,0,0.007366
5,8,1,0.007366
5,8,2,0.0092075
5,8,3,0.0055245
5,9,0,0.0165735
5,9,1,0.0092075
5,9,2,0.011049
5,9,3,0.007366
5,10,0,0.0165735
5,10,1,0.0092075
5,10,2,0.011049
5,10,3,0.007366
5,11,0,0.0165735
5,11,1,0.0092075
5,11,2,0.011049
5,11,3,0.007366
5,12,0,0.0165735
5,12,1,0.0092075
5,12,2,0.011049
5,12,3,0.007366
5,13,0,0.018415
5,13,1,0.011049
5,13,2,0.012890500000000001
5,13,3,0.0092075
5,14,0,0.018415
5,14,1,0.011049
5,14,2,0.012890500000000001
5,14,3,0.0092075
5,15,0,0.018415
5,15,1,0.011049
5,15,2,0.012890500000000001
5,15,3,0.0092075
5,16,0,0.018415
5,16,1,0.011049
5,16,2,0.012890500000000001
5,16,3,0.0092075
5,17,0,0.018415
5,17,1,0.011049
5,17,2,0.012890500000000001
5,17,3,0.0092075
5,18,0,0.0092075
5,18,1,0.0092075
5,18,2,0.011049
5,18,3,0.007366
5,19,0,0.0092075
5,19,1,0.0092075
5,19,2,0.011049
5,19,3,0.007366
5,20,0,0.007366
5,20,1,0.0092075
5,20,2,0.007366
5,20,3,0.007366
5,21,0,0.007366
5,21,1,0.0092075
5,21,2,0.007366
5,21,3,0.007366
5,22,0,0.0055245
5,22,1,0.0055245
5,22,2,0.0055245
5,22,3,0.0055245
5,23,0,0.0055245
5,23,1,0.0055245
5,23,2,0.0055245
5,23,3,0.0055245
6,0,0,0.028053400000037393
6,0,1,0.028053400000037393
6,0,2,0.028053400000037393
6,0,3,0.028053400000037393
6,1,0,0.028053400000037393
6,1,1,0.028053400000037393
6,1,2,0.028053400000037393
6,1,3,0.028053400000037393
6,2,0,0.028053400000037393
6,2,1,0.028053400000037393
6,2,2,0.028053400000037393
6,2,3,0.028053400000037393
6,3,0,0.028053400000037393
6,3,1,0.028053400000037393
6,3,2,0.028053400000037393
6,3,3,0.028053400000037393
6,4,0,0.028053400000037393
6,4,1,0.028053400000037393
6,4,2,0.028053400000037393
6,4,3,0.028053400000037393
6,5,0,0.07071048000017202
6,5,1,0.07071048000017202
6,5,2,0.08192878000017201
6,5,3,0.05949218000017201
6,6,0,0.050490000000037394
6,6,1,0.050490000000037394
6,6,2,0.06170830000003738
6,6,3,0.03927170000003738
6,7,0,0.050490000000037394
6,7,1,0.050490000000037394
6,7,2,0.06170830000003738
6,7,3,0.03927170000003738
6,8,0,0.050490000000037394
6,8,1,0.050490000000037394
6,8,2,0.06170830000003738
6,8,3,0.03927170000003738
6,9,0,0.1571327000003739
6,9,1,0.11225950000037392
6,9,2,0.1234778000003739
6,9,3,0.10104120000037392
6,10,0,0.10658150000003738
6,10,1,0.06170830000003738
6,10,2,0.07292660000003737
6,10,3,0.050490000000037394
6,11,0,0.10658150000003738
6,11,1,0.06170830000003738
6,11,2,0.07292660000003737
6,11,3,0.050490000000037394
6,12,0,0.10658150000003738
6,12,1,0.06170830000003738
6,12,2,0.07292660000003737
6,12,3,0.050490000000037394
6,13,0,0.12791004000010467
6,13,1,0.0830368400001047
6,13,2,0.09425514000010468
6,13,3,0.0718185400001047
6,14,0,0.11779980000003737
6,14,1,0.07292660000003737
6,14,2,0.08414490000003738
6,14,3,0.06170830000003738
6,15,0,0.11779980000003737
6,15,1,0.07292660000003737
6,15,2,0.08414490000003738
6,15,3,0.06170830000003738
6,16,0,0.11779980000003737
6,16,1,0.07292660000003737
6,16,2,0.08414490000003738
6,16,3,0.06170830000003738
6,17,0,0.11779980000003737
6,17,1,0.07292660000003737
6,17,2,0.08414490000003738
6,17,3,0.06170830000003738
6,18,0,0.006164388888556504
6,18,1,0.006164388888556504
6,18,2,0.017382688888556506
6,18,3,-0.005053911111445229
6,19,0,0.06170830000003738
6,19,1,0.06170830000003738
6,19,2,0.07292660000003737
6,19,3,0.050490000000037394
6,20,0,0.03988048888885565
6,20,1,0.051098788888855634
6,20,2,0.03988048888885565
6,20,3,0.03988048888885565
6,21,0,0.050490000000037394
6,21,1,0.06170830000003738
6,21,2,0.050490000000037394
6,21,3,0.050490000000037394
6,22,0,0.028662188888855644
6,22,1,0.028662188888855644
6,22,2,0.028662188888855644
6,22,3,0.028662188888855644
6,23,0,0.028662188888855644
6,23,1,0.028662188888855644
6,23,2,0.028662188888855644
6,23,3,0.028662188888855644
7,0,0,0.0029718
7,0,1,0.0029718
7,0,2,0.0029718
7,0,3,0.0029718
7,1,0,0.0029718
7,1,1,0.0029718
7,1,2,0.0029718
7,1,3,0.0029718
7,2,0,0.0029718
7,2,1,0.0029718
7,2,2,0.0029718
7,2,3,0.0029718
7,3,0,0.0029718
7,3,1,0.0029718
7,3,2,0.0029718
7,3,3,0.0029718
7,4,0,0.0029718
7,4,1,0.0029718
7,4,2,0.0029718
7,4,3,0.0029718
7,5,0,0.0059436
7,5,1,0.0059436
7,5,2,0.0074295
7,5,3,0.0044577
7,6,0,0.0059436
7,6,1,0.0059436
7,6,2,0.0074295
7,6,3,0.0044577
7,7,0,0.0059436
7,7,1,0.0059436
7,7,2,0.0074295
7,7,3,0.0044577
7,8,0,0.0059436
7,8,1,0.0059436
7,8,2,0.0074295
7,8,3,0.0044577
7,9,0,0.0133731
7,9,1,0.0074295
7,9,2,0.0089154
7,9,3,0.0059436
7,10,0,0.0133731
7,10,1,0.0074295
7,10,2,0.0089154
7,10,3,0.0059436
7,11,0,0.0133731
7,11,1,0.0074295
7,11,2,0.0089154
7,11,3,0.0059436
7,12,0,0.0133731
7,12,1,0.0074295
7,12,2,0.0089154
7,12,3,0.0059436
7,13,0,0.014859
7,13,1,0.0089154
7,13,2,0.0104013
7,13,3,0.0074295
7,14,0,0.014859
7,14,1,0.0089154
7,14,2,0.0104013
7,14,3,0.0074295
7,15,0,0.014859
7,15,1,0.0089154
7,15,2,0.0104013
7,15,3,0.0074295
7,16,0,0.014859
7,16,1,0.0089154
7,16,2,0.0104013
7,16,3,0.0074295
7,17,0,0.014859
7,17,1,0.0089154
7,17,2,0.0104013
7,17,3,0.0074295
7,18,0,0.0074295
7,18,1,0.0074295
7,18,2,0.0089154
7,18,3,0.0059436
7,19,0,0.0074295
7,19,1,0.0074295
7,19,2,0.0089154
7,19,3,0.0059436
7,20,0,0.0059436
7,20,1,0.0074295
7,20,2,0.0059436
7,20,3,0.0059436
7,21,0,0.0059436
7,21,1,0.0074295
7,21,2,0.0059436
7,21,3,0.0059436
7,22,0,0.0044577
7,22,1,0.0044577
7,22,2,0.0044577
7,22,3,0.0044577
7,23,0,0.0044577
7,23,1,0.0044577
7,23,2,0.0044577
7,23,3,0.0044577
8,0,0,0.024903800000037394
8,0,1,0.024903800000037394
8,0,2,0.024903800000037394
8,0,3,0.024903800000037394
8,1,0,0.024903800000037394
8,1,1,0.024903800000037394
8,1,2,0.024903800000037394
8,1,3,0.024903800000037394
8,2,0,0.024903800000037394
8,2,1,0.024903800000037394
8,2,2,0.024903800000037394
8,2,3,0.024903800000037394
8,3,0,0.024903800000037394
8,3,1,0.024903800000037394
8,3,2,0.024903800000037394
8,3,3,0.024903800000037394
8,4,0,0.024903800000037394
8,4,1,0.024903800000037394
8,4,2,0.024903800000037394
8,4,3,0.024903800000037394
8,5,0,0.06441128000017202
8,5,1,0.06441128000017202
8,5,2,0.074054780000172
8,5,3,0.054767780000172
8,6,0,0.044190800000037396
8,6,1,0.044190800000037396
8,6,2,0.05383430000003738
8,6,3,0.03454730000003738
8,7,0,0.044190800000037396
8,7,1,0.044190800000037396
8,7,2,0.05383430000003738
8,7,3,0.03454730000003738
8,8,0,0.044190800000037396
8,8,1,0.044190800000037396
8,8,2,0.05383430000003738
8,8,3,0.03454730000003738
8,9,0,0.1429595000003739
8,9,1,0.10438550000037392
8,9,2,0.11402900000037389
8,9,3,0.09474200000037392
8,10,0,0.09240830000003739
8,10,1,0.05383430000003738
8,10,2,0.06347780000003737
8,10,3,0.044190800000037396
8,11,0,0.09240830000003739
8,11,1,0.05383430000003738
8,11,2,0.06347780000003737
8,11,3,0.044190800000037396
8,12,0,0.09240830000003739
8,12,1,0.05383430000003738
8,12,2,0.06347780000003737
8,12,3,0.044190800000037396
8,13,0,0.11216204000010467
8,13,1,0.0735880400001047
8,13,2,0.08323154000010469
8,13,3,0.06394454000010469
8,14,0,0.10205180000003737
8,14,1,0.06347780000003737
8,14,2,0.07312130000003739
8,14,3,0.05383430000003738
8,15,0,0.10205180000003737
8,15,1,0.06347780000003737
8,15,2,0.07312130000003739
8,15,3,0.05383430000003738
8,16,0,0.10205180000003737
8,16,1,0.06347780000003737
8,16,2,0.07312130000003739
8,16,3,0.05383430000003738
8,17,0,0.10205180000003737
8,17,1,0.06347780000003737
8,17,2,0.07312130000003739
8,17,3,0.05383430000003738
8,18,0,-0.0017096111114434966
8,18,1,-0.0017096111114434966
8,18,2,0.007933888888556506
8,18,3,-0.01135311111144523
8,19,0,0.05383430000003738
8,19,1,0.05383430000003738
8,19,2,0.06347780000003737
8,19,3,0.044190800000037396
8,20,0,0.03358128888885565
8,20,1,0.043224788888855635
8,20,2,0.03358128888885565
8,20,3,0.03358128888885565
8,21,0,0.044190800000037396
8,21,1,0.05383430000003738
8,21,2,0.044190800000037396
8,21,3,0.044190800000037396
8,22,0,0.023937788888855643
8,22,1,0.023937788888855643
8,22,2,0.023937788888855643
8,22,3,0.023937788888855643
8,23,0,0.023937788888855643
8,23,1,0.023937788888855643
8,23,2,0.023937788888855643
8,23,3,0.023937788888855643
9,0,0,0.0102366
9,0,1,0.0102366
9,0,2,0.0102366
9,0,3,0.0102366
9,1,0,0.0102366
9,1,1,0.0102366
9,1,2,0.0102366
9,1,3,0.0102366
9,2,0,0.0102366
9,2,1,0.0102366
9,2,2,0.0102366
9,2,3,0.0102366
9,3,0,0.0102366
9,3,1,0.0102366
9,3,2,0.0102366
9,3,3,0.0102366
9,4,0,0.0102366
9,4,1,0.0102366
9,4,2,0.0102366
9,4,3,0.0102366
9,5,0,0.0204732
9,5,1,0.0204732
9,5,2,0.0255915
9,5,3,0.0153549
9,6,0,0.0204732
9,6,1,0.0204732
9,6,2,0.0255915
9,6,3,0.0153549
9,7,0,0.0204732
9,7,1,0.0204732
9,7,2,0.0255915
9,7,3,0.0153549
9,8,0,0.0204732
9,8,1,0.0204732
9,8,2,0.0255915
9,8,3,0.0153549
9,9,0,0.0460647
9,9,1,0.0255915
9,9,2,0.0307098
9,9,3,0.0204732
9,10,0,0.0460647
9,10,1,0.0255915
9,10,2,0.0307098
9,10,3,0.0204732
9,11,0,0.0460647
9,11,1,0.0255915
9,11,2,0.0307098
9,11,3,0.0204732
9,12,0,0.0460647
9,12,1,0.0255915
9,12,2,0.0307098
9,12,3,0.0204732
9,13,0,0.051183
9,13,1,0.0307098
9,13,2,0.0358281
9,13,3,0.0255915
9,14,0,0.051183
9,14,1,0.0307098
9,14,2,0.0358281
9,14,3,0.0255915
9,15,0,0.051183
9,15,1,0.0307098
9,15,2,0.0358281
9,15,3,0.0255915
9,16,0,0.051183
9,16,1,0.0307098
9,16,2,0.0358281
9,16,3,0.0255915
9,17,0,0.051183
9,17,1,0.0307098
9,17,2,0.0358281
9,17,3,0.0255915
9,18,0,0.0255915
9,18,1,0.0255915
9,18,2,0.0307098
9,18,3,0.0204732
9,19,0,0.0255915
9,19,1,0.0255915
9,19,2,0.0307098
9,19,3,0.0204732
